product,brand,salary_age,category,salary_type,pet_type,기능,weight,price,product_name,crud_protein,crud_fat,crud_fiber,crud_ash,ca,p,water
4507,127,3개월 이상,파우더,"반려견, 반려묘 공용",3,,100g,10000,마도로스펫 유기농 당근파우더,6.3,,7.1,6,,,5.3
4508,127,3개월 이상,파우더,"반려견, 반려묘 공용",3,,80g,12000,마도로스펫 연어파우더,61.2,29.7,,5.8,,,4.3
4509,127,3개월 이상,파우더,"반려견, 반려묘 공용",3,,100g,10000,마도로스펫 유기농 단호박파우더,10.8,7.8,,5.8,,,4.6
4510,127,3개월 이상,파우더,"반려견, 반려묘 공용",3,,130g,8000,마도로스펫 북어파우더,90,1,,0.8,,,2
4511,127,3개월 이상,동결건조,"반려견, 반려묘 공용",3,,60g,11000,마도로스펫 유기농 당근트릿,6,,9,10,,,12
4512,127,3개월 이상,동결건조,"반려견, 반려묘 공용",3,,80g,15000,마도로스펫 유기농 단호박트릿,8,,5,5,,,10
4513,127,3개월 이상,동결건조,"반려견, 반려묘 공용",3,,150g,15000,마도르스펫 유기농 고구마트릿,4,,3,3,,,3
4514,127,3개월 이상,동결건조,"반려견, 반려묘 공용",3,,80g,7000,마도로스펫 노른자트릿,34.2,50.3,,3.9,,,2
4515,127,3개월 이상,동결건조,"반려견, 반려묘 공용",3,,40g,12000,마도로스펫 초록입홍합트릿,64.2,9.8,,7.1,,,1.3
4516,127,3개월 이상,동결건조,"반려견, 반려묘 공용",3,,80g,16000,마도로스펫 오징어트릿 ,84.9,6.2,,7.4,,,0.8
4517,127,3개월 이상,동결건조,"반려견, 반려묘 공용",3,,60g,7000,마도로스펫 소간트릿,62.6,14.1,,4.9,,,3.1
4518,127,3개월 이상,동결건조,"반려견, 반려묘 공용",3,,300g,28000,마도로스펫 큰연어,84.1,7.9,,7.1,,,0.8
4519,86,생후3개월 이상,덴탈껌,"초소형견,소형견",1,,50개,5000,덴탈헬스 플러스 피넛피터맛,5.09,0.29,,1.19,,,10.33
4520,86,생후3개월 이상,덴탈껌,"초소형견,소형견",1,,12개,1500,덴탈헬스 플러스 민트맛,5.09,0.29,,1.19,,,10.33
4521,86,생후3개월 이상,덴탈껌,"초소형견,소형견",1,,12개,1500,덴탈헬스 플러스 치즈맛,5.09,0.29,,1.19,,,10.33
